title,company,location,time_opened,link,applications,experience_level,job_type,role,sectors,description
Desenvolvedor(a) Junior,IBM,"São Paulo, SP",Há 2 semanas,https://br.linkedin.com/jobs/view/desenvolvedor-a-junior-at-ibm-3821086927?position=25&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=qNrpGcYxW%2FHDNCSTjaLuJA%3D%3D&trk=public_jobs_jserp-result_search-card,Mais de 200 candidaturas,Não aplicável,Tempo integral,Outro,Fabricação de equipamentos de informática e periféricos,"687066BRIntroduçãoConduza a IBM ao futuro, traduzindo os requisitos do sistema para o design e desenvolvimento de sistemas customizados em um ambiente ágil. O sucesso da IBM está em suas mãos à medida que você transforma necessidades vitais de negócios em código e impulsiona a inovação. Seu trabalho potencializará a IBM e seus clientes globalmente, colaborando e integrando código em sistemas corporativos. Você terá acesso à educação, ferramentas e tecnologia mais recentes e a um plano de carreira ilimitado com o líder de tecnologia mundial. Venha para a IBM e gere um impacto global!Seu papel e responsabilidadesInicie sua carreira na IBM e seja parte da revolução digital! Estamos procurando desenvolvedores juniores talentosos para se juntarem à nossa equipe. Se você já tem alguma experiência inicial com desenvolvimento, estamos ansiosos para iniciar essa jornada com você!*Todas as nossas vagas são elegíveis para pessoas com deficiência ou reabilitadas*Profissional Requerido e Conhecimento TécnicoVaga não aplicável para pessoas com Ensino Superior cursando ou concluído, em cursos de TI. Ensino médio completo; Formação inicial com ensino técnico, bootcamp e afins; Conhecimento intermediário em JavaScript, HTML, CSS ou Java.Profissional Preferencial e Conhecimento TécnicoDesejável Angular, Node, NodeJs ou Springboot.Sobre a unidade de negóciosA IBM Services é uma equipe de consultores de negócios, estratégia e tecnologia que projeta, constrói e executa sistemas e serviços fundamentais que são a espinha dorsal da economia mundial. A IBM Services faz parceria com as principais empresas do mundo em mais de 170 países para criar negócios mais inteligentes, reimaginando e reinventando por meio da tecnologia, com metodologias focadas em resultados, portfólio líder de mercado e experiência em operações e pesquisa de nível mundial que levam à inovação orientada por resultados e excelência duradoura.Sua vida na IBMO que importa para você na procura por seu próximo desafio na carreira? Talvez você queira se envolver em um trabalho que realmente mude o mundo. Que tal um lugar com oportunidades de carreira e desenvolvimento incríveis e diversificadas, onde você pode verdadeiramente descobrir sua paixão? Está procurando uma cultura de abertura, colaboração e confiança na qual todos têm voz? E quanto a tudo isso? Em caso afirmativo, a IBM poderia ser o próximo desafio de sua carreira. Junte-se a nós, não para fazer algo melhor, mas para experimentar coisas que você nunca imaginou. Impacto. Inclusão. Experiências ilimitadas. Faça o seu melhor trabalho sempre.Sobre a IBMA IBM é uma empresa líder em soluções de plataforma e cognitiva em nuvem. Reinventando incansavelmente desde 1911, somos o maior empregador de tecnologia e consultoria do mundo, com mais de 380.000 funcionários atendendo clientes em 170 países. Com o Watson, a plataforma de IA para empresas, impulsionada por dados, estamos construindo soluções baseadas na indústria para problemas do mundo reaDeclaração de localizaçãoPara obter informações adicionais sobre os requisitos de localização, entre em contato com o recrutador responsável por acompanhar sua candidatura.Sendo você na IBMA IBM tem o compromisso de criar um ambiente diversificado e se orgulha de ser uma empregadora que oferece oportunidades iguais. Todos os candidatos qualificados serão considerados para o cargo, independentemente de raça, cor, religião, sexo, gênero, identidade ou expressão de gênero, orientação sexual, origem nacional, casta, genética, gravidez, deficiência, neurodiversidade, idade, status de veterano ou outras características. A IBM também está comprometida em cumprir com todas as práticas trabalhistas justas relacionadas a status de cidadania e imigração."
Desenvolvedor Front-end PL.,RTM,São Paulo e Região,Há 6 dias,https://br.linkedin.com/jobs/view/desenvolvedor-front-end-pl-at-rtm-3829196424?position=26&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=LA%2F9pyp8PCVS%2BvQQQI2HZw%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Tecnologia da informação,Atividades dos serviços de tecnologia da informação,"O DESENVOLVEDOR é responsável por criar, implementar e manter softwares por meio de tecnologias e metodologias de desenvolvimento, traduzindo os requisitos de negócios em soluções técnicas, junto as as necessidades dos clientes e garantindo que os produtos atendam aos padrões de qualidade e desempenho, buscando agregar inovação e eficiência. Em especial o DESENVOLVEDOR FRONTEND é responsável por criar interfaces de usuário intuitivas e responsivas, traduzindo os designs de UI/UX, garantindo uma experiência de usuário consistente e otimizada.Veja quais serão as suas responsabilidades:Analisar os requisitos de software e traduzi-los em soluções técnicas viáveis;Projetar e desenvolver softwares eficientes;Aplicar as melhores práticas de programação;Codificar e realizar testes para assegurar a qualidade do software;Colaborar com as equipes multidisciplinares;Revisar código-fonte;Adotar os princípios e as práticas de projetos ágeis;Solucionar problemas técnicos, depurando e otimizando o código-fonte;Criar e manter a documentação técnica atualizada, de forma clara;Colaborar com as partes interessadas e compreender suas necessidades;Buscar constantemente o aprimoramento técnico;Adaptar-se às mudanças tecnológicas e requisitos de projeto;Participar do ciclo de vida completo do desenvolvimento de software, desde a concepção até a manutenção;Cumprir com os prazos de entrega;Cuidar da qualidade dos produtos entregues pela área;Buscar melhoria contínua de qualidade e eficiência dos softwares entregues;Manter uma comunicação aberta e transparente com a equipe e partes interessadas;Desenvolver soluções intuitivas e responsivas.Formação necessária:Superior em Sistemas de Informação, Ciências da Computação, Engenharia de software e relacionados ou experiência na função;Experiência em desenvolvimento de software, por pelo menos 3-5 anos;Experiência em ambientes ágeis, por pelo menos 3-5 anos;Participação em projetos utilizando o framework Scrum;Colaboração em equipes multifuncionais;Conhecimento avançado em linguagem HTML e CSS;Conhecimento avançado em linguagens de programação TypeScript e JavaScript;Conhecimento avançado em framework React.js;Capacidade para traduzir designs complexos e interativos de UI/UX em código funcional e responsivos;Habilidade em otimização de desempenho;Capacidade para seguir padrões de codificação e boas práticas;Conhecimento em ambientes com Kubernetes ou similar.Tornando-se um RTM você terá:Plano de saúde e odontológico BradescoAuxílio Alimentação: R$62,60/dia útiAuxílio Home Office - R$ 155,00**Seguro de vida empresarialVale-transporte***GympassNo Dress CodeApp de Convênios e DescontosBirthday offPrevidência privadaPrograma de educação corporativaBônus anual"
Desenvolvedor Front-end,WarmUP Consulting,São Paulo e Região,Há 1 semana,https://br.linkedin.com/jobs/view/desenvolvedor-front-end-at-warmup-consulting-3822132517?position=27&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=Cs2N1%2BlobI3lsbjf1p%2BT5Q%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Contrato,Tecnologia da informação,Atividades dos serviços de tecnologia da informação,"A WarmUP Consulting é uma empresa especializada em testes e qualidade de software sob medida, que vê seus Clientes e Colaboradores como ÚNICOS.Buscamos profissionais com características especificas entre conhecimento, habilidades e atitudes alinhadas aos propósitos em prol do crescimento constante com Qualidade, que agregue valor aos Clientes e ao time WarmUP.Todos os candidatos qualificados receberão consideração pelo emprego, independentemente de raça, cor, religião, sexo, identidade ou expressão de gênero, orientação sexual, origem nacional, genética, deficiência, idade ou status de veterano.Quer saber mais sobre a vaga? Vamos lá:Desafios e responsabilidadesMissão de absorver as regras do negócio e validar a qualidade das entregas;Realizar reuniões para entendimento do negócio que será testado;Desenvolvimento e implementação de código HTML, CSS e JavaScript para criar interfaces de usuário interativas e responsivas.Colaboração com designers para transformar layouts e wireframes em interfaces funcionais e atraentes.Otimização de sites e aplicativos para melhorar o desempenho e a velocidade de carregamento.Testes e depuração de código para garantir que tudo funcione corretamente e esteja livre de erros.Integração com APIs e serviços web para fornecer funcionalidades adicionais aos usuários.Manutenção e atualização contínua das interfaces de usuário existentes, garantindo que estejam sempre atualizadas e funcionais.Resolução de problemas e suporte técnico para usuários finais, identificando e corrigindo possíveis problemas ou dificuldades;Experiências QualificaçõeBacharel em ciência da computação ou áreas afinsReact, JavaScript, CSSExperiência mínima de 3 anos em front ou full-stack2 anos ou mais de experiência em desenvolvimento de apps é um diferencialProficiência com AngularJS é uma qualidade desejável;Vasto conhecimento de ferramentas de desenvolvimento web e linguagens de programação;Familiaridade com metodologias ágeis, como Scrum ou Kanban;Domínio em bancos de dados SQL Server, PostgreSQL, e NoSQL databases como MongoDB;Experiência na implementação de práticas de CI/CD utilizando ferramentas como Jenkins, GitLab CI ou CircleCI;Soft SkillsSenso Analítico e auto gerenciável;Excelentes habilidades de comunicação e trabalho em equipe;Proatividade;Foco no crescimento mútuo;Resiliência;Capaz de olhar os desafios com otimismo;Responsabilidade organizacional;Foco e responsabilidade nas demandas diárias;"
Desenvolvedor Web,PWI Sistemas,São Paulo e Região,Há 1 mês,https://br.linkedin.com/jobs/view/desenvolvedor-web-at-pwi-sistemas-3800342810?position=28&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=Le8nO26%2FoH2C2LpDVneaQg%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Fornecimento e gestão de recursos humanos,"Cargo: Desenvolvedor WebSkills: typescript / javascript, html, css / scss, Go Experiência Inglês básico Necessário residir em Fortaleza Forma de trabalho: home sendo necessário presença na empresa 1 vez na semana para reuniões de alinhamento do projeto Local da empresa: Meireles Carga horária de trabalho por produtividade: sendo 20 horas de trabalho mínimas e 40 horas de trabalho máximas Necessário apresentar o link do git junto ao currículo Prazo do projeto: 6 meses podendo ser prorrogado"
Desenvolvedor Frontend,Zig. The Global Funtech,"São Paulo, SP",Há 2 meses,https://br.linkedin.com/jobs/view/desenvolvedor-frontend-at-zig-the-global-funtech-3799847266?position=29&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=%2FxpDlpQeLtpP1cN3YBw87A%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Não aplicável,Tempo integral,Engenharia e Tecnologia da informação,"Artes, cultura, esporte e recreação","Zig é a primeira Funtech do mercado de tecnologia para o entretenimento ao vivo com atuação mundial. Presente em grandes festivais, eventos, arenas, feiras, bares e casas noturnas, trazendo inovação e tecnologia para toda a jornada do entretenimento, com soluções e gestão de consumo cashless.O mundo é fun!Nós, da Zig, The Global Funtech, acreditamos, mais do que nunca, que cada evento que ajudamos a realizar é único e uma inspiração para mudar a forma como as pessoas vivenciam os eventos ao vivo. Aqui e no mundo. Por isso, a Zig já nasceu sem fronteiras para o entretenimento, temos expertise nas principais áreas de atuação. Unimos diversão e tecnologia para criar a melhor experiência para nossos clientes.Aqui, você encontrará um ambiente dinâmico, flexível e alegre! Estamos crescendo rapidamente e melhorando a cada dia! Você terá a chance de crescer e se desenvolver junto com a empresa, podendo contribuir ativamente com as suas ideias e fazer um trabalho relevante para levar nossa experiência para cada vez mais pessoas.Responsabilidades e atribuiçõesDesenvolver e manter aplicativos web interativos e responsivos utilizando React como principal framework;Colaborar com a equipe implementar interfaces de usuário atraentes e funcionais;Traduzir requisitos e designs em código de alta qualidade, garantindo uma experiência do usuário suave e intuitiva;Participar ativamente das revisões de código para garantir a qualidade, escalabilidade e desempenho do código;Identificar e solucionar problemas de maneira eficiente, mantendo a integridade das aplicações;Manter-se atualizado com as melhores práticas e tendências no desenvolvimento de frontend, trazendo inovação e ideias para a equipe;Colaborar em projetos ágeis, participando de reuniões diárias de equipe e contribuindo para o planejamento e estimativas de tarefas;Requisitos e qualificaçõesExperiência sólida em desenvolvimento frontend e possuir ao menos 3 anos de experiência trabalhando com React/Typescript;Conhecimento profundo de HTML5, CSS3 e JavaScript, bem como de princípios de design responsivo;Experiência comprovada na construção de interfaces de usuário interativas e intuitivas usando bibliotecas e frameworks de frontend;Familiaridade com o desenvolvimento de aplicativos web escaláveisConhecimento em controle de versão com sistemas como Git;Familiaridade em trabalhar com branches, pull requests, code review e CI/CD;Familiaridade com metodologias ágeis, com foco em SCRUM/Kanban;Capacidade de trabalhar de forma colaborativa em equipes multidisciplinares, demonstrando excelentes habilidades de comunicação e resolução de problemas;Capacidade de traduzir requisitos de negócios em soluções técnicas eficientes e escaláveis;Conhecimento em testes unitário e testes de integração (Jest, RTL);Informações adicionaisBenefícios para quem é Zig:Saúde e Bem-estar:Assistência Médica e Odontológica.Para você cuidar da sua saúde emocional, temos psicoterapia online pelo convênio ou Vittude, parceria de descontos.Totalpass e Gympass, sim, nosso time conta com descontos especiais em academias e estúdios pra dar aquele incentivo pro projeto verão.Em São Paulo, as terças e quartas, acontece uma partidinha de futebol e vôlei.Somos flexíveis:Nossa carga horária é diária e flexível. Você pode alinhar com o seu gestor o melhor horário;Modalidade: Híbrido.Tá pensando que acabou? Ainda tem mais viu!Tirar aquele descanso pra curtir o aniversário? Temos também! Day off no mês do seu níver está mais que garantido;Kit onboarding com tudo que você precisa pra começar com muita energia e acolhimento no nosso time;Também temos o New Value, onde estão cadastrados mais de 2.500 parceiros, com descontos exclusivos pra economizar uma graninha na hora das compras;Parceria com o Cinemark, separamos um combinho para você curtir um cinema, no precinho.Vale reforçar que nosso ambiente de trabalho é dinâmico, alegre, diverso e cada vez mais inclusivo"
Desenvolvedor Front-end Júnior - Trabalho Híbrido,Tgid - Transform and grow in digital,"São Paulo, SP",Há 3 semanas,https://br.linkedin.com/jobs/view/desenvolvedor-front-end-j%C3%BAnior-trabalho-h%C3%ADbrido-at-tgid-transform-and-grow-in-digital-3818254539?position=30&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=EavJyGBglVLTyDkI%2F2AhCw%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Não aplicável,Tempo integral,Engenharia e Tecnologia da informação,Atividades dos serviços de tecnologia da informação,"Você é o tipo de pessoa engajada por transformação, inovação e tecnologia? Gosta de trabalhar em equipes autônomas e com liberdade criativa? A tgid nasceu com o propósito de auxiliar empreendedores a tirar seus projetos do papel, contando com uma equipe altamente qualificada e experiente no mercado de startups. Chegamos até aqui incentivando a liberdade e criatividade do nosso time!E aí? O que você acha se juntar ao nosso time e fazer parte do nosso ecossistema?Responsabilidades e atribuiçõesAtuar no desenvolvimento e implementação de interfaces de usuário com base nos designs fornecidos pela equipe de design ou desenvolvedores sêniores;Aprender e aplicar as melhores práticas de desenvolvimento front-end para garantir a qualidade e eficiência do código;Colaborar com a equipe de desenvolvimento para garantir a integração eficaz da interface do usuário com a lógica de negócios do aplicativo;Participar de revisões de código e depurações para identificar e corrigir problemas de usabilidade e desempenho;Contribuir para a criação de interfaces de usuário responsivas que funcionem de forma adequada em diferentes dispositivos e resoluções;Realizar testes de usabilidade e coletar feedback do usuário para aprimorar continuamente a interface do usuário;Manter-se atualizado com as tendências e desenvolvimentos no campo de desenvolvimento front-end;Participar de reuniões de equipe e de planejamento para entender os requisitos do projeto e propor ideias e soluções.Requisitos e qualificaçõesConhecimento básico de HTML, CSS e JavaScript;Imprescindível conhecimento e vivência com React;Conhecimento em consumo de REST APIs;Conhecimento em versionamento de código, como Git;Desejável conhecimento em bibliotecas de estilização (ex: Styled Components, Tailwind CSS);Familiaridade com conceitos de design responsivo;Capacidade de aprender rapidamente e se adaptar a novas tecnologias e tendências;Excelentes habilidades de comunicação e trabalho em equipe para colaborar efetivamente com outros membros da equipe;Habilidades de resolução de problemas e depuração para identificar e corrigir problemas de software;Ensino superior em curso ou completo em Ciência da Computação, Engenharia de Software, Sistemas de Informação ou áreas relacionadas.Informações adicionaisTrabalhamos remoto, porém requer residência no Estado de São Paulo para encontros presenciais com a equipe, conforme agenda a combinar."
Desenvolvedor,Stoom seu E-commerce de ponta a ponta,São Paulo e Região,Há 1 semana,https://br.linkedin.com/jobs/view/desenvolvedor-at-stoom-solu%C3%A7%C3%B5es-em-e-commerce-3825531106?position=31&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=%2BYuTrOwdfVHqY2er3hGaBg%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,"Tecnologia, Informação e Internet","Vaga 100% Presencial - Região Brás/SPAlocação.Desenvolvedor Progress 4GLRESPONSABILIDADES Elaborar o detalhamento técnico e funcional do escopo a ser desenvolvido, descrevendodetalhes quanto ao fluxo do processo, regras de negócios, regras fiscais (incluindo cálculos),premissas, modelos de relatórios, planilhas ilustrativas e demais informações necessárias paradesenvolvimento; Anexar documentos /templates quando necessário para entendimento da solicitação; Buscar junto às áreas de Negócios os detalhamentos adicionais sempre que necessário; Realizar o desenvolvimento sistêmico utilizando de linguagens de programação / lógica deprogramação conforme detalhamento do escopo, de forma que o documento contenha tododetalhamento do escopo; Realizar o desenvolvimento sistêmico conforme detalhamento técnico, utilizando de lógica deprogramação e das linguagens de programação; Desenvolver integrações entre sistemas; Realizar testes qualitativos e quantitativos considerando obtenção de melhor performance daaplicação; Realizar a homologação junto às áreas de negócios dos desenvolvimentos realizados,preenchendo e evidenciando todos os testes realizados; Emitir parecer técnico sobre o desenvolvimento do sistema e aplicação quando for necessário; Efetuar toda a documentação necessária sobre níveis de serviços, capacidade e performance,soluções disponíveis, efetuando a divulgação destas para as áreas envolvidas.QUALIFICAÇÕES experiência em desenvolvimento nas linguagens; Habilidade em arquitetar soluções; experiência em desenvolvimento em linguagem Progress 4GL Open Edge (versões 11.x ax) caráter e gráfico; Conhecimento em integração com ERP´s via API; Boas habilidades de comunicação; Conhecimento em .NET será um diferencial;BENEFÍCIOS 30 dias de descanso remunerado, Gympass, Descontos em diversos estabelecimentos, Day Off de Aniversário, Stock Options, Bônus por Indicação,"
Desenvolvedor Back-end - Junior,"PSISEG - Psicologia, RH e SST",São Paulo e Região,Há 5 dias,https://br.linkedin.com/jobs/view/desenvolvedor-back-end-junior-at-psiseg-psicologia-rh-e-sst-3833189625?position=32&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=ztn2jFY5bqVvHCID1NWiyw%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Atividades de assistência prestadas em residências coletivas e particulares,"Ï Desenvolvedor Back-end Junior, responsável por desenvolver e manter sites, aplicações web emobile, utilizando linguagem de programação PHP e banco de dados MySQL;Ï Capacidade de trabalhar com controle de versão usando ferramentas como Git;Ï Experiência com um framework atual;Ï Identificar e resolver problemas de desempenho, otimizando o código e assegurando que asaplicações carreguem de forma rápida e eficiente;Ï Testar o código em diferentes navegadores e dispositivos, identificar e corrigir bugs ou problemasde usabilidade;Ï Trabalhar em colaboração e com entrega de tarefas em prazos pré-estabelecidos, por meio deferramentas de produtividade, em conjunto com outros desenvolvedores;Ï Trabalhar em conjunto com a equipe de front-end para integrar as interfaces com as APIs,garantindo a comunicação entre os componentes e endpoints;Ï Documentar o código desenvolvido de maneira clara e organizada, facilitando o entendimento e amanutenção por outros membros da equipe.São desejados conhecimentos em Laravel, testes unitários, SOLID, json:api e Docker;"
Desenvolvedor(a) de Software,Skeps,São Paulo e Região,Há 1 mês,https://br.linkedin.com/jobs/view/desenvolvedor-a-de-software-at-skeps-3801135227?position=33&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=91W3Jv7%2F%2FA%2B4i5OUOM2Ayg%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Tecnologia da informação,Atividades dos serviços de tecnologia da informação,"Estamos contratando um(a) Desenvolvedor(a) de Software para atuar no desenvolvimento de chatbots e integrações relacionadas.Vaga RemotaPapel e ResponsabilidadesDesenvolvimento de bots na plataforma BlipCorreções de bugs - Desenvolvimento de APIs de integraçõesDesenvolvimento front end (em especial para demandas de dashboard)Acompanhar reuniões com clientes - Servir de suporte aos grupos de clientes no WhatsAppAuxiliar desenvolvedores juniores e estagiários em suas dúvidasDar vazão as demandas técnicasDocumentar soluções técnicasTreinamento de clientes na plataforma BlipCompetêrncias Técnicas / Obrigatórios: conhecimento de Javascript e NodeJS OpcionaisConhecimento de BlipCompetências ComportamentaisResolução de problemas de forma ágilAtender bem os clientesExecutorBoa comunicaçãoAprendizagem rápidaProatividadeRelacionamento interpessoal FormaçãoGraduação em engenharia de computação, ciencia da computação, sistemas de informação, técnico em informática, engenharia de sistemas e afins."
Desenvolvedor de sofware,DIMEP,São Paulo e Região,Há 1 mês,https://br.linkedin.com/jobs/view/desenvolvedor-de-sofware-at-dimep-3805092357?position=34&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=ls2b6QOxwLqNnMk7U9zLdA%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Engenharia e Tecnologia da informação,Fabricação de semicondutores de energia renovável,"Realizar atividades de programação de software; atividades de criação de scripts sql para manutenção de dados em banco de dados;Realizar atividades de criação de cenários automatizados de testes;Eventualmente realizar atividade de especificação de requisitos funcionais;Eventualmente realizar atividade de especificação de APIs para integração com softwares terceiros.Eventualmente auxiliar o suporte n3 na análise de chamados; atuar em campo, em conjunto ao suporte n2 ou n3 para auxiliar na análise de eventuais problemas.Ser proativo e levantar questões relacionadas a arquitetura das aplicações, visando sempre reaproveitamento de código, performance, facilidade de manutenção, qualidade e segurança.Conhecimento em lógica de programação, orientação a objetos, metodologias ágeis, NET e Sqlserver."
DESENVOLVEDOR FRONT-END,Grupo AlloyMIT,São Paulo e Região,Há 1 semana,https://br.linkedin.com/jobs/view/desenvolvedor-front-end-at-grupo-alloymit-3828501678?position=35&pageNum=0&refId=1lmfgYW3Eg5SDa%2FL5LylTg%3D%3D&trackingId=ZmM6nDrJS5OAL1ZL%2FU%2BOOg%3D%3D&trk=public_jobs_jserp-result_search-card,Seja um dos 25 primeiros a se candidatar,Assistente,Tempo integral,Tecnologia da informação,Serviços combinados para apoio a edifícios,"> Quem somosSomos uma empresa global com presença local, atuando de forma multissetorial.Possuímos uma carteira de participações e investimentos composta por empresas em diferentes setores da economia em diversos estágios de desenvolvimento. Nossa busca é incansável para encontrar oportunidades de melhorar e gerar eficiência nos segmentos que atuamos.>> Nossos valoresRespeito nos relacionamentos, transparência e governança na gestão e conexão do mundo corporativo com a sociedade. Alcançar resultados positivos e sustentáveis que gerem valor para a companhia, indivíduos e sociedade, devem ocorrer através de esforço físico e intelectual, e comprometimento de todos com nosso propósito.Sobre o Ambiente De Trabalho, é Importante Você Saber Que: Todas as nossas empresas têm um objetivo, uma razão de ser em comum: ESSÊNCIA GENUÍNA E PROPÓSITO RESPONSÁVEL.É justamente para FAZER a diferença que temos uma cultura interna fortemente voltada para o COMPROMISSO dentro do nosso Grupo.Responsabilidades/Requisitos Graduação completa ou sendo concluída em Ciências ou Engenharia da Computação, Sistema de Informação ou áreas relacionadas. Experiência mínima de 3 anos atuando como - Dev. (Developer) - Front End - preferencialmente no - Segmento Financeiro. Inglês Técnico. Sólidos conhecimentos em JavaScript e Typescript, Angular ou React. Experiência em HTML5 e CSS3 | SAAS - Syntactically Awesome Style Sheets. Experiência em Versionamento de Códigos. Experiência em Planejamento e Gestão da Qualidade de Códigos. Domínio de Testes Unitários e de Usabilidade. Experiência em Desenvolvimento de Aplicações sob as Plataforma com Kubernete - Containers - Dockers. Experiência em Integrações com APIs. Experiência em UX- User Experience e UI - User Interface. Conhecimento de Métodos e Técnicas Ágeis - Scrum e Kanban. Experiência de atuação em ambientes estruturados de - Squads. Conhecimento de Integração - Front End com Back End. Facilidade de Comunicação e Argumentação. Adaptabilidade (Flexibilidade e Versatilidade) para atuar em ambientes com Picos de Demandas | Mudanças. Postura Pró-Ativa, de Aprendizagem contínua e de Colaboração 360 graus. Planejamento, Engenharia (Construção) de Sistemas | Softwares APPs e Delivery de Soluções - Front End - para Aplicações de - Core Business Solutions. Elaboração, Disponibilização e Apresentação de Status Reports conforme solicitação dos Gestores.BenefíciosPJ-100% PresencialSalário: A combinarVila Mariana - Zona SulRefeição no Local - sem descontoTemos convenio de TotalPass - OpcionalConsultas Médicas Online - A parte de Exames é custeado pelo colaboradorConsultas PsicológicasApoio Financeiro e JurídicoApoio PetDesconto em Farmácia"
